,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
0,J. Cole,4 Your Eyez Only,1vvnYpYEMVB4aq9I6tHIEB,65,4 Your Eyez Only,3CCnGldVQ90c26aFATC1PW,2016-12-09,album,530253,True,10,1,0.701,0.485,11,-10.305,0,0.364,0.367,6.31e-05,0.0852,0.496,78.863,6l3HvQ5sa6mXTsMTB19rO5,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84
1,Luigi 21 Plus,Tanto Tiempo,7zJLCXgUhTCKnEG2ZPrabh,60,Back to Basics,3jtdZLQVtCIgm7KRugV413,2016-08-05,album,212133,False,10,1,0.665,0.851,1,-4.101,0,0.304,0.39,0.0,0.0955,0.596,180.141,77GVmrLGuxNEvj2ibvT62v,spotify:artist:77GVmrLGuxNEvj2ibvT62v,"['reggaeton', 'trap latino', 'urbano latino']",62
2,Red Hot Chili Peppers,The Longest Wave,0pjCkLjbgSLn5c0Ilwuv8z,59,The Getaway,43otFXrY0bgaq5fB3GrZj6,2016-06-17,album,211520,False,4,1,0.476,0.511,8,-6.25,1,0.0324,0.319,0.000129,0.119,0.339,148.158,0L8ExT028jH3ddEcZwqJJ5,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",81
3,Ocean Alley,Holiday,5j3SzIBW2iIIm5aSwhsp2N,59,Lost Tropics,62xt1ooV02LKWxvIx15yA9,2016-05-13,album,192197,True,5,1,0.763,0.73,9,-7.156,0,0.0303,0.066,6.86e-06,0.0939,0.659,119.976,18lpwfiys4GtdHWNUu9qQr,spotify:artist:18lpwfiys4GtdHWNUu9qQr,"['australian reggae fusion', 'australian surf rock']",61
4,Aidamir Mugu,Чёрные глаза,65vzSaV8SADqrp1Mc8zi9j,53,Чёрные глаза,0zYLoa2MpmfDD63CP7CewN,2016-06-08,album,343823,False,1,1,0.774,0.728,7,-10.582,0,0.0742,0.162,1.01e-05,0.422,0.868,117.987,0NFPX1PX5EeOtPhUUbWAwW,spotify:artist:0NFPX1PX5EeOtPhUUbWAwW,['kavkaz'],36
5,Slimane,Adieu,2GEQqMDoLOmaKHEjnCJfJq,52,À bout de rêves,2CxgSbHnTTJ2DyPhjhTiEB,2016-12-02,album,226533,False,4,1,0.423,0.488,11,-4.472,0,0.0532,0.329,0.0,0.246,0.179,183.536,4OV6uYSnHxSYkjDYuBVBUz,spotify:artist:4OV6uYSnHxSYkjDYuBVBUz,['french pop'],68
6,Crystal Castles,Fleece,2tdfTvq5PrseNIZIuJyz2v,50,Amnesty (I),60f7DBZ5BIKTlaGak6ooUU,2016-08-19,album,155106,False,2,1,0.476,0.798,1,-6.699,1,0.229,0.00469,0.156,0.156,0.219,128.511,7K3zpFXBvPcvzhj7zlGJdO,spotify:artist:7K3zpFXBvPcvzhj7zlGJdO,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",69
7,Jory Boy,La Noche Oscura (feat. Anuel AA),4G4OzaKUlylp0NCHwRkYB9,48,Otra Liga,4du5ksYzUegDBsJxE8EoPz,2016-12-02,album,227746,True,5,1,0.783,0.755,1,-6.727,0,0.065,0.103,0.0,0.215,0.545,94.021,5lFhCi03HDneWzvCxGctrT,spotify:artist:5lFhCi03HDneWzvCxGctrT,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",66
8,Jory Boy,La Noche Oscura (feat. Anuel AA),4G4OzaKUlylp0NCHwRkYB9,48,Otra Liga,4du5ksYzUegDBsJxE8EoPz,2016-12-02,album,227746,True,5,1,0.783,0.755,1,-6.727,0,0.065,0.103,0.0,0.215,0.545,94.021,5lFhCi03HDneWzvCxGctrT,spotify:artist:5lFhCi03HDneWzvCxGctrT,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",66
9,Annet X,TAKTOMABYT,0hFJbq9BugegnbxberNRHQ,44,TAKTOMABYT,2QglxfhgnJfnoXmI6PDLO5,2016-10-23,single,151771,False,1,1,0.768,0.618,3,-9.058,0,0.201,0.258,0.0,0.0793,0.719,109.793,3wTmekbMox022tiwirdy6F,spotify:artist:3wTmekbMox022tiwirdy6F,"['czech pop', 'czsk hip hop']",38
10,سـعـداوى القطعانى,مرحب يالي تسمع فينا,57v7KkqRkUpRVJXFs7MXP8,39,مرحب يالي تسمع فينا,7rVq64wF75ZGqvfj5nR6vc,2016-09-04,single,323926,False,1,1,0.845,0.971,1,-5.757,0,0.0719,0.136,0.0,0.446,0.976,140.002,48saLdhDhEHvAvXI7rFv31,spotify:artist:48saLdhDhEHvAvXI7rFv31,[],21
11,Dyrigent,Stones (feat. Julian Easily),1OqSzt4Y9szCYojLC9ATQm,35,Stones (feat. Julian Easily),50aTYiVl3HopRNi0FPlOQa,2016-10-28,single,176117,False,1,1,0.68,0.597,9,-7.196,1,0.0288,0.0615,1.1e-05,0.13,0.436,123.054,4s9YcxWME22c8jUlW81da8,spotify:artist:4s9YcxWME22c8jUlW81da8,['deep tropical house'],23
12,Son Feci Bisiklet,Reklamlar,0HyCo8gWsew47nyEy2W41m,32,Reklamlar,4ecTIX8q6fxFPaRgNtMsEA,2016-10-12,single,248279,False,1,1,0.575,0.704,0,-8.918,1,0.0385,0.308,0.122,0.105,0.607,108.035,4q2SZIdLq6YTc9cZLCclWc,spotify:artist:4q2SZIdLq6YTc9cZLCclWc,['turkish rock'],56
13,Poncho Zuleta,"Mi Hermano y Yo (feat. Héctor Zuleta, Andrés Zuleta & Kbeto Zuleta)",5hfu1xT6TbvNdPWjhRMX7g,31,Poncho Zuleta 45 Años,5K5ALlnrnBQUwtzzcA4qCy,2016-05-20,album,285213,False,11,1,0.637,0.889,3,-3.533,1,0.0704,0.481,1.8e-06,0.943,0.967,77.933,1FrVJr7a4ZTOCSnKz3Fuq1,spotify:artist:1FrVJr7a4ZTOCSnKz3Fuq1,['vallenato'],40
14,Alan Ramirez,Corazón de Cartón,1m0FplOEPeQIh5uoLTzZwQ,31,Estoy Perdiendo La Razón,5fQqmPG79aySUQ7QQKs1lj,2016-12-14,album,143281,False,10,1,0.553,0.567,4,-6.649,0,0.0369,0.74,0.0,0.0628,0.809,126.994,1yHjFDDYePdq3KcGBEJkRw,spotify:artist:1yHjFDDYePdq3KcGBEJkRw,['musica popular colombiana'],43
15,Assala Nasri,حزن الشوارع,6kYy64wdHueif7UY24sMRt,29,أعلّق الدنيا,5hC3ocqDCseRyFmASvqcUT,2016-10-10,album,212580,False,11,1,0.562,0.723,10,-4.759,0,0.137,0.368,0.0,0.0521,0.848,90.047,6MQnUjIjnIOfHDFzqBJOAl,spotify:artist:6MQnUjIjnIOfHDFzqBJOAl,"['arab pop', 'classic arab pop', 'khaliji', 'syrian pop']",55
16,All Sons & Daughters,Path of Sorrow,1WsejxLlatw94QtxOtzAzd,23,Poets & Saints,4Ep9pR8RIXphUEEkgeELBK,2016-09-02,album,267493,False,3,1,0.613,0.452,10,-7.395,1,0.0261,0.00723,0.00761,0.144,0.283,130.035,44LPOpECjnIlnwH91wo2ir,spotify:artist:44LPOpECjnIlnwH91wo2ir,"['ccm', 'christian alternative rock', 'deep ccm', 'worship']",54
17,Muzaffer Gürler,Senin Aşkın,24sXDwJQVDNmjKPnNTqO1u,22,Yalvarış,5aPd6cvyHlniIi0UXDJgnC,2016-01-20,album,325094,False,8,1,0.662,0.844,9,-8.369,0,0.0866,0.792,8.87e-05,0.093,0.754,90.897,4cGgSMi3uOByyskrQWmNN6,spotify:artist:4cGgSMi3uOByyskrQWmNN6,['ilahiler'],14
