,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,album_cover_url,track_duration_ms,explicit,track_number,disc_number,track_preview_url,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
0,Nino D'Angelo,Fotoromanzo,3eCzMHuVUtVvXDFrORnjF8,39,60,50UZ3u6GH63EYxVGafr8F4,2018-07-20,album,https://i.scdn.co/image/ab67616d0000b27305b3111439f55b3d5ca72017,265546,False,34,1,https://p.scdn.co/mp3-preview/9c672e7e56ec4e4d531de222a88b1382445f25ae?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:3eCzMHuVUtVvXDFrORnjF8,0.571,0.646,2,-8.423,1,0.0262,0.0588,0.000887,0.261,0.0755,139.853,4xhEhRE75hHgXMeNeeTTsx,spotify:artist:4xhEhRE75hHgXMeNeeTTsx,['canzone napoletana'],49
1,ALEX,Game Over,52n4kofyXauJYktwjDZJOE,37,SIMULATIONS,1Koc1DUHNh9ywilaXIDqjw,2018-09-01,album,https://i.scdn.co/image/ab67616d0000b2733fe0debf7ef4153884e637d2,238802,False,3,1,https://p.scdn.co/mp3-preview/51f789d9d71c3cb3505caf7d4daa2415e34b731d?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:52n4kofyXauJYktwjDZJOE,0.61,0.744,4,-6.475,0,0.0392,0.00986,1.93e-06,0.186,0.635,144.987,65sChHf6etCvSFdXn8NPUO,spotify:artist:65sChHf6etCvSFdXn8NPUO,"['cyberpunk', 'darksynth', 'synthwave']",39
2,Exfeind,Gefallene Engel,2f93qOi4nguUvfB8hKxkUM,35,Exfeind Nummer Eins,5tqrsKKVy1WQRXPq7rjJ5Z,2018-01-19,album,https://i.scdn.co/image/ab67616d0000b2733a61a2f4d967a7afcab846f7,165826,False,7,1,https://p.scdn.co/mp3-preview/3fb14f8447a3e9a9dc5f59cdf449553c72eb2eff?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:2f93qOi4nguUvfB8hKxkUM,0.458,0.944,11,-5.482,0,0.138,1.24e-05,0.279,0.24,0.705,165.031,698UUzQYlttJbp0akMZ9Af,spotify:artist:698UUzQYlttJbp0akMZ9Af,['neue deutsche harte'],30
3,Exfeind,Gefallene Engel,2f93qOi4nguUvfB8hKxkUM,35,Exfeind Nummer Eins,5tqrsKKVy1WQRXPq7rjJ5Z,2018-01-19,album,https://i.scdn.co/image/ab67616d0000b2733a61a2f4d967a7afcab846f7,165826,False,7,1,https://p.scdn.co/mp3-preview/3fb14f8447a3e9a9dc5f59cdf449553c72eb2eff?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:2f93qOi4nguUvfB8hKxkUM,0.458,0.944,11,-5.482,0,0.138,1.24e-05,0.279,0.24,0.705,165.031,698UUzQYlttJbp0akMZ9Af,spotify:artist:698UUzQYlttJbp0akMZ9Af,['neue deutsche harte'],30
4,Age Factory,GOLD,5twzU6e2PHagQl6N90t3po,30,GOLD,0BxdjWVjyR7nKIgfz3aksn,2018-10-10,album,https://i.scdn.co/image/ab67616d0000b273a4d1eef864586797f89d8d26,178120,False,1,1,https://p.scdn.co/mp3-preview/0ab519e2417d38d53f3265c2d3606c13d3dffa98?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:5twzU6e2PHagQl6N90t3po,0.329,0.986,8,-1.771,1,0.154,0.0012,0.0,0.353,0.304,122.868,7pgRyTH4nTH4KoruoGuAQo,spotify:artist:7pgRyTH4nTH4KoruoGuAQo,"['j-rock', 'japanese alternative rock']",37
5,Mommy Long Legs,Ditched You,0QDBmjH1KMvDksNGnpAIhy,27,Try Your Best,0TWeW94j2nzmyVPuuJxKHB,2018-06-22,album,https://i.scdn.co/image/ab67616d0000b273a77c73f77eb85a76c3297b38,181504,False,3,1,https://p.scdn.co/mp3-preview/d798d31574002be0f890b340daa427db10f9fdbb?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0QDBmjH1KMvDksNGnpAIhy,0.219,0.883,6,-9.5,1,0.0635,0.00316,0.408,0.252,0.391,155.768,1cZJetf4bkK5CE3VeU18h0,spotify:artist:1cZJetf4bkK5CE3VeU18h0,['riot grrrl'],39
6,YoungBoy Never Broke Again,Villain,0C4LlOF8LS1ozxg7Mw9ddn,24,Until Death Call My Name,6mTa71H427cTKGkXeuuAdl,2018-04-25,album,https://i.scdn.co/image/ab67616d0000b2739e56b3d6c3b8c8edb95156cf,169795,False,8,1,https://p.scdn.co/mp3-preview/f29b44b45db3aa9d02343f16f22df07f5b44e7c2?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0C4LlOF8LS1ozxg7Mw9ddn,0.768,0.828,2,-5.983,1,0.303,0.227,0.0,0.0834,0.578,146.949,7wlFDEWiM5OoIAt8RSli8b,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,"['baton rouge rap', 'rap']",79
7,Mary Chapin Carpenter,Sometimes Just the Sky,2sQf5NM0pAhCeAe6pBT6fB,22,Sometimes Just the Sky,6ZW6ua1Lw9TFZNXAHgX7V2,2018-03-30,album,https://i.scdn.co/image/ab67616d0000b2732956e4ed3d1271d57c663cdc,383348,False,13,1,https://p.scdn.co/mp3-preview/a3cfadbd703fb3b5af8192c0c6a58d68ae5e0184?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:2sQf5NM0pAhCeAe6pBT6fB,0.462,0.337,0,-15.729,1,0.0302,0.574,0.364,0.197,0.357,133.036,0qAmeOULjwn04k6jMMeDyr,spotify:artist:0qAmeOULjwn04k6jMMeDyr,"['classic country pop', 'country', 'country rock', 'ectofolk', 'folk', 'lilith', 'singer-songwriter']",46
8,Gilbert,Mit dir,5lMdkJLuye3QR5eR1IPsbx,22,Jetzt erst recht,0ukCDB5PV6O3rCio4igj3v,2018-06-08,album,https://i.scdn.co/image/ab67616d0000b2732d732350730c8decf41f6900,196495,False,1,1,https://p.scdn.co/mp3-preview/86ee2c55b12834f980c918280147d29b1d1420d0?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:5lMdkJLuye3QR5eR1IPsbx,0.634,0.883,0,-3.987,1,0.0342,0.0991,0.0,0.0942,0.361,125.025,4jiIXasy9GockXdIBkR27v,spotify:artist:4jiIXasy9GockXdIBkR27v,[],28
9,Cafe Music BGM channel,Morning Music,0wo1Avt7JgGRbsMFCAkzIv,22,Slow Cafe,5FTVo633KtME5g01Vci6I0,2018-11-01,album,https://i.scdn.co/image/ab67616d0000b273240a5f67e68c5d84afd4dfc9,170131,False,3,1,https://p.scdn.co/mp3-preview/e44e4051759cc9cd45095ae46ef2cc3f21781117?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0wo1Avt7JgGRbsMFCAkzIv,0.513,0.0593,6,-25.24,0,0.0474,0.89,0.917,0.111,0.259,117.325,3yKoHgjtyenCOIRaD2Gghu,spotify:artist:3yKoHgjtyenCOIRaD2Gghu,"['background music', 'dinner jazz']",65
