artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Major SPZ,BAM BAM,6Fs1V9d3LXfSkZRKiRW5mA,42,Klepsydra,4Di6N098UNz5VDVqI7SnKA,2021-05-14,album,150329,True,12,1,0.833,0.576,1,-7.585,1,0.246,0.117,0.000257,0.0826,0.521,93.02,5iM4dDbBN6a4OqxKPuxgS6,spotify:artist:5iM4dDbBN6a4OqxKPuxgS6,"['polish hip hop', 'rap uliczny']",49
Vybz Kartel,Dark Ages,2UC32g7XkVkkhSRIkHho4o,28,Dark Ages,746jCUwB5tgvc6EvLs1wxF,2021-04-16,single,314400,True,1,1,0.679,0.745,10,-5.633,1,0.0849,0.0619,0.0,0.338,0.131,133.352,2NUz5P42WqkxilbI8ocN76,spotify:artist:2NUz5P42WqkxilbI8ocN76,"['dancehall', 'jamaican dancehall', 'reggae fusion']",63
Entspannungsmusik Universe,Therapeutische Musik,0Eidu8BDLxaYi9kt1sooMf,27,"Heilungsmusik: Körperzellen Reinigung, Zerstöre unbewusste Blockaden und Negativität",3nd5J25b9LI4eL68XxxbJv,2021-08-02,album,272000,False,5,1,0.185,0.337,10,-23.69,1,0.0873,0.836,0.162,0.819,0.0531,81.687,2GvzdafbvNcymeV1KInKTs,spotify:artist:2GvzdafbvNcymeV1KInKTs,[],32
Ryan Trey,King's Heart,4ZZARfgXgBx6WXI3rt6T1q,24,A 64 East Saga,6rNaEOcCOyzFJfNTAp1SS8,2021-10-01,single,251999,True,12,1,0.536,0.38,6,-7.934,0,0.238,0.379,2.6e-05,0.278,0.0766,159.973,5YHM0i7v5TqqibZhS0YiuX,spotify:artist:5YHM0i7v5TqqibZhS0YiuX,['trap soul'],49
Patrões da Pisadinha,Culpa da Morena,22I92MOCdnuuTKte69zF6c,20,Culpa da Morena,2pyLAAJgKR3C0JvztT9or8,2021-07-27,single,183335,False,1,1,0.684,0.552,8,-8.654,1,0.0318,0.136,0.0,0.277,0.884,150.012,7pSqyEsVXqbHbbhFIcpo4q,spotify:artist:7pSqyEsVXqbHbbhFIcpo4q,['piseiro'],17
Bokke8,Fake Love,42UH5mRChCx60ZBxWvjXjJ,19,SWART,29ZLWNOSLm97T8jEgm4Drs,2021-02-11,album,136463,True,2,1,0.654,0.608,11,-7.103,1,0.272,0.414,0.0,0.268,0.388,98.606,742XDtXqGyHQR4D5wJCfmB,spotify:artist:742XDtXqGyHQR4D5wJCfmB,"['dutch drill', 'dutch hip hop']",44
Keith Carnal,Passed Out on the Sofa - Original Mix,6ERQC5Dt0kDtUaCDztNKuZ,16,SEC005,0m8bGgkqTQCDpzo6d7qqnL,2021-05-28,single,510040,False,1,1,0.62,0.549,7,-14.404,1,0.0443,0.212,0.911,0.0977,0.204,144.991,4HNCzIxBPQkpeNjnqW7NRD,spotify:artist:4HNCzIxBPQkpeNjnqW7NRD,"['deep techno', 'minimal dub']",24
Enei,Voodoo,1EmYfYbtWYhNFF7deERY4B,15,Remote Transmissions,5dQxpVLh2Gdp15hsLKnfIz,2021-12-17,album,281871,False,5,1,0.649,0.861,11,-4.32,1,0.0705,0.00157,0.105,0.177,0.504,171.999,6X3QjCYg5HcTwO5FPVQj0J,spotify:artist:6X3QjCYg5HcTwO5FPVQj0J,"['drum and bass', 'jungle', 'liquid funk', 'neurofunk', 'russian dnb']",35
Anna Wyszkoni,Agnieszka Już Dawno...,1JhAgdAHyHvcpnWo8IIdT7,14,Nieznośna Lekkość Hitu,08nAlQciMg2yATpCkuxbBE,2021-10-29,album,219814,False,13,1,0.697,0.949,5,-4.368,1,0.0546,0.0246,0.0,0.134,0.871,120.022,2QhdFVWTX2oEpTJjYm8iv0,spotify:artist:2QhdFVWTX2oEpTJjYm8iv0,['polish pop'],42
Ocean Sounds,Sonido Del Mar Para Meditar,75NXaRhKce7WWYaZDcQxDQ,13,"!!!"" Deep Sleep: Ocean Waves ""!!!",0gWywBfrD8LNeJJQ75sPWj,2021-04-13,album,63901,False,32,1,0.187,0.742,5,-30.022,1,0.0644,0.353,0.247,0.55,0.00589,135.308,7g56xCsozigPH5OgmwinYA,spotify:artist:7g56xCsozigPH5OgmwinYA,"['environmental', 'sleep', 'water']",62
